DHS_Survey_Year,Year_Clean,Total_Fertility_Rate,Contraception_Use_Rate,Unmet_Family_Planning_Need
2015-2016,2015,5.2,38.4,22.1
2010,2010,5.4,23.6,22.3
2004-2005,2004,5.7,17.6,24.3
1999,1999,5.6,15.6,22.3
1996,1996,5.8,11.7,26
1991-1992,1991,6.2,5.9,27.8
